"filename", "language", "PHP", "HTML", "JavaScript", "JSON", "CSS", "XML", "Markdown", "Batch", "Shell Script", "SQL", "SCSS", "comment", "blank", "total"
"c:\xampp\htdocs\charity\404.html", "HTML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\charity\_index.html", "HTML", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 1, 268
"c:\xampp\htdocs\charity\about.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\charity\about.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\xampp\htdocs\charity\admin\404.html", "HTML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\xampp\htdocs\charity\admin\blogs\index.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108
"c:\xampp\htdocs\charity\admin\blogs\manage_blog.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 267
"c:\xampp\htdocs\charity\admin\events\index.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92
"c:\xampp\htdocs\charity\admin\events\manage_event.php", "PHP", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 107
"c:\xampp\htdocs\charity\admin\home.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 63
"c:\xampp\htdocs\charity\admin\inc\defaultNav.php", "PHP", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 164
"c:\xampp\htdocs\charity\admin\inc\footer.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 123
"c:\xampp\htdocs\charity\admin\inc\header.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"c:\xampp\htdocs\charity\admin\inc\navigation.php", "PHP", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 125
"c:\xampp\htdocs\charity\admin\inc\sess_auth.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\xampp\htdocs\charity\admin\inc\topBarNav.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 73
"c:\xampp\htdocs\charity\admin\index.php", "PHP", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 89
"c:\xampp\htdocs\charity\admin\login.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"c:\xampp\htdocs\charity\admin\maintenance\cause.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 2, 230
"c:\xampp\htdocs\charity\admin\maintenance\index.php", "PHP", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102
"c:\xampp\htdocs\charity\admin\maintenance\manage_topic.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 96
"c:\xampp\htdocs\charity\admin\maintenance\topics.php", "PHP", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102
"c:\xampp\htdocs\charity\admin\system_info\index.php", "PHP", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 133
"c:\xampp\htdocs\charity\admin\user\index.php", "PHP", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 97
"c:\xampp\htdocs\charity\admin\user\list.php", "PHP", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102
"c:\xampp\htdocs\charity\admin\user\manage_user.php", "PHP", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 103
"c:\xampp\htdocs\charity\articles.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 78
"c:\xampp\htdocs\charity\assets\css\styles.css", "CSS", 0, 0, 0, 0, 9487, 0, 0, 0, 0, 0, 0, 31, 1217, 10735
"c:\xampp\htdocs\charity\assets\js\scripts.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7
"c:\xampp\htdocs\charity\build\config\.eslintrc.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\charity\build\config\postcss.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\charity\build\config\rollup.config.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 33
"c:\xampp\htdocs\charity\build\js\AdminLTE.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\xampp\htdocs\charity\build\js\CardRefresh.js", "JavaScript", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 20, 32, 154
"c:\xampp\htdocs\charity\build\js\CardWidget.js", "JavaScript", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 20, 49, 239
"c:\xampp\htdocs\charity\build\js\ControlSidebar.js", "JavaScript", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 30, 55, 323
"c:\xampp\htdocs\charity\build\js\DirectChat.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 24, 20, 85
"c:\xampp\htdocs\charity\build\js\Dropdown.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 25, 31, 147
"c:\xampp\htdocs\charity\build\js\ExpandableTable.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 24, 20, 116
"c:\xampp\htdocs\charity\build\js\Fullscreen.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 24, 24, 118
"c:\xampp\htdocs\charity\build\js\IFrame.js", "JavaScript", 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 0, 25, 57, 357
"c:\xampp\htdocs\charity\build\js\Layout.js", "JavaScript", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 27, 46, 246
"c:\xampp\htdocs\charity\build\js\NavbarSearch.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 24, 26, 112
"c:\xampp\htdocs\charity\build\js\PushMenu.js", "JavaScript", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 25, 49, 224
"c:\xampp\htdocs\charity\build\js\SidebarSearch.js", "JavaScript", 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 25, 58, 299
"c:\xampp\htdocs\charity\build\js\Toasts.js", "JavaScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 21, 46, 210
"c:\xampp\htdocs\charity\build\js\TodoList.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 25, 28, 119
"c:\xampp\htdocs\charity\build\js\Treeview.js", "JavaScript", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 25, 36, 176
"c:\xampp\htdocs\charity\build\npm\.eslintrc.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\charity\build\npm\DocsPlugins.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 49
"c:\xampp\htdocs\charity\build\npm\DocsPublish.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 54
"c:\xampp\htdocs\charity\build\npm\Plugins.js", "JavaScript", 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 42, 4, 438
"c:\xampp\htdocs\charity\build\npm\Publish.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 60
"c:\xampp\htdocs\charity\build\npm\vnu-jar.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 27, 7, 56
"c:\xampp\htdocs\charity\build\scss\_adminlte.raw.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 4, 30
"c:\xampp\htdocs\charity\build\scss\_alerts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 7, 37
