Date : 2023-05-13 09:50:15
Directory : c:\xampp\htdocs\charity
Total : 1989 files,  545970 codes, 77220 comments, 88068 blanks, all 711258 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JavaScript   |        957 |    377,812 |     72,543 |     65,283 |    515,638 |
| CSS          |        343 |    104,246 |      1,289 |     18,819 |    124,354 |
| XML          |        519 |     44,950 |          0 |        519 |     45,469 |
| PHP          |         78 |     10,384 |      2,458 |      1,632 |     14,474 |
| SCSS         |         79 |      8,131 |        758 |      1,743 |     10,632 |
| HTML         |          5 |        225 |         57 |          5 |        287 |
| SQL          |          1 |        139 |        114 |         59 |        312 |
| JSON         |          4 |         75 |          0 |          3 |         78 |
| Markdown     |          1 |          5 |          0 |          5 |         10 |
| Batch        |          1 |          2 |          0 |          0 |          2 |
| Shell Script |          1 |          1 |          1 |          0 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |      1,989 |    545,970 |     77,220 |     88,068 |    711,258 |
| . (Files)                                                                                       |         20 |        821 |        100 |         31 |        952 |
| admin                                                                                           |         22 |      1,887 |        397 |         53 |      2,337 |
| admin (Files)                                                                                   |          4 |        216 |          0 |         17 |        233 |
| admin\blogs                                                                                     |          2 |        160 |        215 |          0 |        375 |
| admin\events                                                                                    |          2 |        197 |          0 |          2 |        199 |
| admin\inc                                                                                       |          6 |        547 |          0 |         18 |        565 |
| admin\maintenance                                                                               |          4 |        344 |        181 |          5 |        530 |
| admin\system_info                                                                               |          1 |        127 |          1 |          5 |        133 |
| admin\user                                                                                      |          3 |        296 |          0 |          6 |        302 |
| assets                                                                                          |          2 |      9,487 |         38 |      1,217 |     10,742 |
| assets\css                                                                                      |          1 |      9,487 |         31 |      1,217 |     10,735 |
| assets\js                                                                                       |          1 |          0 |          7 |          0 |          7 |
| build                                                                                           |        104 |     10,754 |      1,210 |      2,362 |     14,326 |
| build\config                                                                                    |          3 |         48 |          9 |          6 |         63 |
| build\js                                                                                        |         16 |      2,016 |        364 |        579 |      2,959 |
| build\npm                                                                                       |          6 |        559 |         79 |         34 |        672 |
| build\scss                                                                                      |         79 |      8,131 |        758 |      1,743 |     10,632 |
| build\scss (Files)                                                                              |         37 |      6,051 |        488 |      1,288 |      7,827 |
| build\scss\mixins                                                                               |          9 |        522 |         51 |        109 |        682 |
| build\scss\pages                                                                                |         10 |        497 |         37 |        104 |        638 |
| build\scss\parts                                                                                |         11 |         86 |         73 |         32 |        191 |
| build\scss\plugins                                                                              |         12 |        975 |        109 |        210 |      1,294 |
| classes                                                                                         |          5 |        820 |          6 |         43 |        869 |
| database                                                                                        |          1 |        139 |        114 |         59 |        312 |
| dist                                                                                            |         26 |     59,133 |      1,363 |     11,729 |     72,225 |
| dist\css                                                                                        |         13 |     55,044 |        127 |     10,992 |     66,163 |
| dist\css (Files)                                                                                |          3 |     27,599 |         34 |      5,509 |     33,142 |
| dist\css\alt                                                                                    |         10 |     27,445 |         93 |      5,483 |     33,021 |
| dist\js                                                                                         |         13 |      4,089 |      1,236 |        737 |      6,062 |
| dist\js (Files)                                                                                 |         10 |      3,653 |      1,030 |        692 |      5,375 |
| dist\js\pages                                                                                   |          3 |        436 |        206 |         45 |        687 |
| inc                                                                                             |         11 |        856 |          5 |         31 |        892 |
| libs                                                                                            |         24 |      6,174 |      2,017 |      1,473 |      9,664 |
| libs (Files)                                                                                    |          2 |         98 |          4 |          1 |        103 |
| libs\css                                                                                        |          2 |          1 |          5 |          1 |          7 |
| libs\phpqrcode                                                                                  |         20 |      6,075 |      2,008 |      1,471 |      9,554 |
| libs\phpqrcode (Files)                                                                          |         14 |      4,343 |        969 |      1,239 |      6,551 |
| libs\phpqrcode\bindings                                                                         |          1 |      1,688 |        976 |        212 |      2,876 |
| libs\phpqrcode\bindings\tcpdf                                                                   |          1 |      1,688 |        976 |        212 |      2,876 |
| libs\phpqrcode\tools                                                                            |          5 |         44 |         63 |         20 |        127 |
| pages                                                                                           |          7 |        154 |          0 |          7 |        161 |
| plugins                                                                                         |      1,767 |    455,745 |     71,970 |     71,063 |    598,778 |
| plugins\bootstrap                                                                               |          4 |      7,743 |      1,684 |      2,038 |     11,465 |
| plugins\bootstrap-colorpicker                                                                   |          4 |      4,020 |      1,419 |      1,234 |      6,673 |
| plugins\bootstrap-colorpicker\css                                                               |          2 |        321 |         35 |         55 |        411 |
| plugins\bootstrap-colorpicker\js                                                                |          2 |      3,699 |      1,384 |      1,179 |      6,262 |
| plugins\bootstrap-slider                                                                        |          4 |      1,924 |        298 |        306 |      2,528 |
| plugins\bootstrap-slider (Files)                                                                |          2 |      1,600 |        215 |        252 |      2,067 |
| plugins\bootstrap-slider\css                                                                    |          2 |        324 |         83 |         54 |        461 |
| plugins\bootstrap-switch                                                                        |          6 |      1,410 |         55 |         50 |      1,515 |
| plugins\bootstrap-switch\css                                                                    |          4 |        674 |         39 |          6 |        719 |
| plugins\bootstrap-switch\css\bootstrap2                                                         |          2 |        495 |         23 |          3 |        521 |
| plugins\bootstrap-switch\css\bootstrap3                                                         |          2 |        179 |         16 |          3 |        198 |
| plugins\bootstrap-switch\js                                                                     |          2 |        736 |         16 |         44 |        796 |
| plugins\bootstrap4-duallistbox                                                                  |          4 |        852 |         55 |         86 |        993 |
| plugins\bootstrap\js                                                                            |          4 |      7,743 |      1,684 |      2,038 |     11,465 |
| plugins\bs-custom-file-input                                                                    |          2 |        131 |         12 |         33 |        176 |
| plugins\bs-stepper                                                                              |          4 |        497 |         25 |        115 |        637 |
| plugins\bs-stepper\css                                                                          |          2 |        162 |         11 |         27 |        200 |
| plugins\bs-stepper\js                                                                           |          2 |        335 |         14 |         88 |        437 |
| plugins\chart.js                                                                                |          6 |     26,560 |      4,930 |      5,525 |     37,015 |
| plugins\codemirror                                                                              |        260 |     50,057 |      5,618 |      5,926 |     61,601 |
| plugins\codemirror (Files)                                                                      |          2 |      8,107 |      1,041 |      1,004 |     10,152 |
| plugins\codemirror\addon                                                                        |         68 |      8,020 |        659 |      1,026 |      9,705 |
| plugins\codemirror\addon\comment                                                                |          2 |        280 |         19 |         28 |        327 |
| plugins\codemirror\addon\dialog                                                                 |          2 |        159 |         11 |         27 |        197 |
| plugins\codemirror\addon\display                                                                |          6 |        310 |         12 |         40 |        362 |
| plugins\codemirror\addon\edit                                                                   |          6 |        600 |         67 |         77 |        744 |
| plugins\codemirror\addon\fold                                                                   |          8 |        686 |         26 |         81 |        793 |
| plugins\codemirror\addon\hint                                                                   |          8 |      1,215 |        243 |        149 |      1,607 |
| plugins\codemirror\addon\lint                                                                   |          8 |        508 |         41 |         81 |        630 |
| plugins\codemirror\addon\merge                                                                  |          2 |        987 |         26 |        114 |      1,127 |
| plugins\codemirror\addon\mode                                                                   |          5 |        459 |         22 |         60 |        541 |
| plugins\codemirror\addon\runmode                                                                |          4 |        640 |         64 |         78 |        782 |
| plugins\codemirror\addon\scroll                                                                 |          4 |        340 |          6 |         52 |        398 |
| plugins\codemirror\addon\search                                                                 |          6 |        750 |         48 |         93 |        891 |
| plugins\codemirror\addon\selection                                                              |          3 |        250 |         11 |         31 |        292 |
| plugins\codemirror\addon\tern                                                                   |          3 |        693 |         58 |        102 |        853 |
| plugins\codemirror\addon\wrap                                                                   |          1 |        143 |          5 |         13 |        161 |
| plugins\codemirror\keymap                                                                       |          3 |      5,828 |        704 |        319 |      6,851 |
| plugins\codemirror\mode                                                                         |        124 |     25,778 |      2,864 |      3,080 |     31,722 |
| plugins\codemirror\mode (Files)                                                                 |          1 |        212 |          3 |          7 |        222 |
| plugins\codemirror\mode\apl                                                                     |          1 |        166 |          2 |          7 |        175 |
| plugins\codemirror\mode\asciiarmor                                                              |          1 |         68 |          2 |          5 |         75 |
| plugins\codemirror\mode\asn.1                                                                   |          1 |        186 |          4 |         15 |        205 |
| plugins\codemirror\mode\asterisk                                                                |          1 |        185 |         25 |         11 |        221 |
| plugins\codemirror\mode\brainfuck                                                               |          1 |         67 |         16 |          3 |         86 |
| plugins\codemirror\mode\clike                                                                   |          1 |        711 |        176 |         49 |        936 |
| plugins\codemirror\mode\clojure                                                                 |          1 |        254 |          6 |         33 |        293 |
| plugins\codemirror\mode\cmake                                                                   |          1 |         80 |         10 |          8 |         98 |
